0x0033ce	㏎	KM
0x0033cf	㏏	kt
0x0033d1	㏑	ln
0x0033d2	㏒	log
0x0033d3	㏓	lx
0x0033d6	㏖	mol
0x0033d7	㏗	pH
0x0033d8	㏘	p.m.	pm
0x0033d9	㏙	PPM
0x0033da	㏚	PR
0x0033db	㏛	sr
0x0033dc	㏜	Sv
0x0033dd	㏝	Wb
0x002474	⑴	(1)
0x002475	⑵	(2)
0x002476	⑶	(3)
0x002477	⑷	(4)
0x002478	⑸	(5)
0x002479	⑹	(6)
0x00247a	⑺	(7)
0x00247b	⑻	(8)
0x00247c	⑼	(9)
0x00247d	⑽	(10)
0x00247e	⑾	(11)
0x00247f	⑿	(12)
0x002480	⒀	(13)
0x002481	⒁	(14)
0x002482	⒂	(15)
0x002483	⒃	(16)
0x002484	⒄	(17)
0x002485	⒅	(18)
0x002486	⒆	(19)
0x002487	⒇	(20)
0x002488	⒈	1.
0x002489	⒉	2.
0x00248a	⒊	3.
0x00248b	⒋	4.
0x00248c	⒌	5.
0x00248d	⒍	6.
0x00248e	⒎	7.
0x00248f	⒏	8.
0x002490	⒐	9.
0x002491	⒑	10.	10
0x002492	⒒	11.	11
0x002493	⒓	12.	12
0x002494	⒔	13.	13
0x002495	⒕	14.	14
0x002496	⒖	15.	15
0x002497	⒗	16.	16
0x002498	⒘	17.	17
0x002499	⒙	18.	18
0x00249a	⒚	19.	19
0x00249b	⒛	20.	20
0x00249c	⒜	(a)
0x00249d	⒝	(b)
0x00249e	⒞	(c)
0x00249f	⒟	(d)
0x0024a0	⒠	(e)
0x0024a1	⒡	(f)
0x0024a2	⒢	(g)
0x0024a3	⒣	(h)
0x0024a4	⒤	(i)
0x0024a5	⒥	(j)
0x0024a6	⒦	(k)
0x0024a7	⒧	(l)
0x0024a8	⒨	(m)
0x0024a9	⒩	(n)
0x0024aa	⒪	(o)
0x0024ab	⒫	(p)
0x0024ac	⒬	(q)
0x0024ad	⒭	(r)
0x0024ae	⒮	(s)
0x0024af	⒯	(t)
0x0024b0	⒰	(u)
0x0024b1	⒱	(v)
0x0024b2	⒲	(w)
0x0024b3	⒳	(x)
0x0024b4	⒴	(y)
0x0024b5	⒵	(z)
0x01f100	🄀	0.
0x01f101	🄁	0,
0x01f102	🄂	1,
0x01f103	🄃	2,
0x01f104	🄄	3,
0x01f105	🄅	4,
0x01f106	🄆	5,
0x01f107	🄇	6,
0x01f108	🄈	7,
0x01f109	🄉	8,
0x01f10a	🄊	9,
0x01f110	🄐	(A)
0x01f111	🄑	(B)
0x01f112	🄒	(C)
0x01f113	🄓	(D)
0x01f114	🄔	(E)
0x01f115	🄕	(F)
0x01f116	🄖	(G)
0x01f117	🄗	(H)
0x01f118	🄘	(I)
0x01f119	🄙	(J)
0x01f11a	🄚	(K)
0x01f11b	🄛	(L)
0x01f11c	🄜	(M)
0x01f11d	🄝	(N)
0x01f11e	🄞	(O)
0x01f11f	🄟	(P)
0x01f120	🄠	(Q)
0x01f121	🄡	(R)
0x01f122	🄢	(S)
0x01f123	🄣	(T)
0x01f124	🄤	(U)
0x01f125	🄥	(V)
0x01f126	🄦	(W)
0x01f127	🄧	(X)
0x01f128	🄨	(Y)
0x01f129	🄩	(Z)
0x01f130	🄰	[A]
0x01f131	🄱	[B]
0x01f132	🄲	[C]
0x01f133	🄳	[D]
0x01f134	🄴	[E]
0x01f135	🄵	[F]
0x01f136	🄶	[G]
0x01f137	🄷	[H]
0x01f138	🄸	[I]
0x01f139	🄹	[J]
0x01f13a	🄺	[K]
0x01f13b	🄻	[L]
0x01f13c	🄼	[M]
0x01f13d	🄽	[N]
0x01f13e	🄾	[O]
0x01f13f	🄿	[P]
0x01f140	🅀	[Q]
0x01f141	🅁	[R]
0x01f142	🅂	[S]
0x01f143	🅃	[T]
0x01f144	🅄	[U]
0x01f145	🅅	[V]
0x01f146	🅆	[W]
0x01f147	🅇	[X]
0x01f148	🅈	[Y]
0x01f149	🅉	[Z]
0x01f16a	🅪	MC
0x01f16b	🅫	MD
0x01f16c	🅬	MR
0x01f18e	🆎	AB
0x01f18f	🆏	WC
0x01f191	🆑	CL
0x01f192	🆒	COOL
0x01f193	🆓	FREE
0x01f194	🆔	ID
0x01f195	🆕	NEW
0x01f196	🆖	NG
0x01f197	🆗	OK
0x01f198	🆘	SOS
0x01f199	🆙	UP!
0x01f19a	🆚	VS
0x003220	㈠	(-) 
0x01f700	🜀	QE
0x01f705	🜅	VF
0x01f706	🜆	VR
0x01f707	🜇	AR
0x01f708	🜈	Vs
0x01f75c	🝜	sss
0x01f75d	🝝	fff
0x01f76c	🝬	VB	V3
0x01f772	🝲	3B	ZB
0x0002a6	ʦ	ts
0x002122	™	TM
0x002213	∓	-+
0x000153	œ	oe
0x000152	Œ	CE
0x00fb06	ﬆ	st
0x00a732	Ꜳ	AA
0x00a733	ꜳ	aa
0x00a734	Ꜵ	AO
0x00a736	Ꜷ	AJ
0x00a737	ꜷ	au
0x00a738	Ꜹ	AV
0x00a739	ꜹ	av
0x00a73c	Ꜽ	AY
0x00a73d	ꜽ	ay
0x00a760	Ꝡ	WY
0x00a761	ꝡ	wy
0x001d6b	ᵫ	ue
0x001d7a	ᵺ	th
